category,match_count,total_count,match_percentage
POLITICS,34840,35601,97.8624195949552
CRIME,259,3562,7.271195957327343
STYLE & BEAUTY,438,9814,4.463012023639698
EDUCATION,40,1014,3.9447731755424065
ENTERTAINMENT,529,17361,3.0470595011808075
GREEN,58,2622,2.212051868802441
TRAVEL,139,9900,1.404040404040404
WEDDINGS,44,3653,1.2044894607172187
FOOD & DRINK,65,6340,1.025236593059937
THE WORLDPOST,28,3664,0.7641921397379913
U.S. NEWS,7,1377,0.5083514887436456
WELLNESS,54,17945,0.30091947617720816
PARENTING,24,8791,0.27300648390399274
