category,match_count,total_count,match_percentage
ARTS,0,1509,0.0
ARTS & CULTURE,0,1339,0.0
BLACK VOICES,0,4583,0.0
BUSINESS,0,5991,0.0
COLLEGE,0,1144,0.0
COMEDY,0,5398,0.0
CULTURE & ARTS,0,1074,0.0
DIVORCE,0,3426,0.0
ENVIRONMENT,0,1444,0.0
FIFTY,0,1400,0.0
GOOD NEWS,0,1398,0.0
HEALTHY LIVING,0,6692,0.0
HOME & LIVING,0,4320,0.0
IMPACT,0,3484,0.0
LATINO VOICES,0,1130,0.0
MEDIA,0,2943,0.0
MONEY,0,1756,0.0
PARENTS,0,3955,0.0
QUEER VOICES,0,6346,0.0
RELIGION,0,2577,0.0
SCIENCE,0,2206,0.0
SPORTS,0,5077,0.0
STYLE,0,2254,0.0
TASTE,0,2096,0.0
TECH,0,2104,0.0
WEIRD NEWS,0,2777,0.0
WOMEN,0,3572,0.0
WORLD NEWS,0,3299,0.0
WORLDPOST,0,2578,0.0
