Model,Coherence Score
LDA Model 1,0.25890795086672563
LDA Model 2,0.2688725234034777
LDA Model 3,0.2564151026460087
LDA Model 4,0.26253807403046314
LDA Model 5,0.2542109136340745
LDA Model 6,0.2570477143041902
LDA Model 7,0.2638794242256445
LDA Model 8,0.24602051677357553
LDA Model 9,0.2487234506368154
LDA Model 10,0.2518259621479394
LDA Model 11,0.25255381618269956
LDA Model 12,0.2623848954877701
LDA Model 13,0.2498110823997855
LDA Model 14,0.25677658298095996
LDA Model 15,0.2594689373015695
LDA Model 16,0.26122937713918
LDA Model 17,0.2662561403531236
LDA Model 18,0.26194379451503225
LDA Model 19,0.24662827082217975
LDA Model 20,0.26055245120884485
LDA Model 21,0.2554645230388684
LDA Model 22,0.2513111145789532
LDA Model 23,0.2588082945531573
LDA Model 24,0.26174020995382513
LDA Model 25,0.2686369068347124
LDA Model 26,0.2646800752173157
LDA Model 27,0.2577070904677017
LDA Model 28,0.26421611649385296
LDA Model 29,0.26227070840319144
LDA Model 30,0.2513052119757167
LDA Model 31,0.2520757105571561
LDA Model 32,0.272467533198106
LDA Model 33,0.25296292454048064
LDA Model 34,0.2392363112875966
LDA Model 35,0.26103485106486474
LDA Model 36,0.26115333459286105
LDA Model 37,0.26882845805761046
LDA Model 38,0.25463895338235343
LDA Model 39,0.25882978185810485
LDA Model 40,0.2554321620906033
LDA Model 41,0.2551709455926665
LDA Model 42,0.2615916814438992
LDA Model 43,0.2571472348846696
LDA Model 44,0.2539561562306392
LDA Model 45,0.2649591228732157
LDA Model 46,0.2505338209516611
LDA Model 47,0.24765229757590737
LDA Model 48,0.26429591648282214
LDA Model 49,0.2523734685100681
LDA Model 50,0.2604029227822704
