Model,Coherence Score
LDA Model 1,0.2791597609248256
LDA Model 2,0.2913562294299771
LDA Model 3,0.2886977925231176
LDA Model 4,0.2896713948834678
LDA Model 5,0.29369744010513366
LDA Model 6,0.2917483912133544
LDA Model 7,0.28286773273600413
LDA Model 8,0.28578113128729943
LDA Model 9,0.2864875822079561
LDA Model 10,0.2813090842128161
LDA Model 11,0.2867038402810061
LDA Model 12,0.29407223653432135
LDA Model 13,0.2936606721150802
LDA Model 14,0.2983807733944439
LDA Model 15,0.2903331190178871
LDA Model 16,0.2799383959647388
LDA Model 17,0.27699960987529576
LDA Model 18,0.2919241974029847
LDA Model 19,0.281994289892844
LDA Model 20,0.28429514175293835
LDA Model 21,0.28078549242263445
LDA Model 22,0.2859690082291853
LDA Model 23,0.2842645136658104
LDA Model 24,0.2865121860648721
LDA Model 25,0.28636406346082827
LDA Model 26,0.284193231448404
LDA Model 27,0.2938335806616778
LDA Model 28,0.28879620636522146
LDA Model 29,0.28270999648699807
LDA Model 30,0.29806972989758124
LDA Model 31,0.2949763863655616
LDA Model 32,0.2969649950747816
LDA Model 33,0.2909393525814642
LDA Model 34,0.2951479498189136
LDA Model 35,0.28672889799856777
LDA Model 36,0.2938577889898437
LDA Model 37,0.288597070326126
LDA Model 38,0.2818215234265261
LDA Model 39,0.27251743894245084
LDA Model 40,0.285617225837045
LDA Model 41,0.2796873502582805
LDA Model 42,0.28004526442272715
LDA Model 43,0.2917552709980052
LDA Model 44,0.2836666524476134
LDA Model 45,0.29118538286113366
LDA Model 46,0.3029325755968708
LDA Model 47,0.2775781456404844
LDA Model 48,0.28774558729101546
LDA Model 49,0.28321831108498835
LDA Model 50,0.2911023310249877
LDA Model 51,0.28863768901452047
LDA Model 52,0.29528875327241877
LDA Model 53,0.28535080940968605
LDA Model 54,0.2788332887262667
LDA Model 55,0.29575669248249875
LDA Model 56,0.29517740562049866
LDA Model 57,0.28546686430077284
LDA Model 58,0.2891769556057726
LDA Model 59,0.29206880790960865
LDA Model 60,0.29787003560773
LDA Model 61,0.2896249106080549
LDA Model 62,0.27893718202696177
LDA Model 63,0.29039585226125225
LDA Model 64,0.2811556965935172
LDA Model 65,0.28288923069069405
LDA Model 66,0.29101625507462403
LDA Model 67,0.2896908190005424
LDA Model 68,0.3023980622755462
LDA Model 69,0.3013091986605655
LDA Model 70,0.2984089697088125
LDA Model 71,0.28516993128868906
LDA Model 72,0.27394002254255934
LDA Model 73,0.28629449802400647
LDA Model 74,0.289568302530121
LDA Model 75,0.2810644127267391
LDA Model 76,0.2873786221014181
LDA Model 77,0.2861003978560738
LDA Model 78,0.29522370074979315
LDA Model 79,0.29286314216793985
LDA Model 80,0.29875562595394256
LDA Model 81,0.29300744027187353
LDA Model 82,0.28205365181589237
LDA Model 83,0.2873885796464852
LDA Model 84,0.29052920670599575
LDA Model 85,0.2949097165226379
LDA Model 86,0.2841891007290081
LDA Model 87,0.28255999226953826
LDA Model 88,0.2822914838957316
LDA Model 89,0.2897234980262159
LDA Model 90,0.2876774636206816
LDA Model 91,0.2799709133524922
LDA Model 92,0.2956054573491741
LDA Model 93,0.292001270041122
LDA Model 94,0.30451566635785643
LDA Model 95,0.28323525240965325
LDA Model 96,0.29471114603271875
LDA Model 97,0.280473248578341
LDA Model 98,0.30502193895169916
LDA Model 99,0.28970185172978236
LDA Model 100,0.28414743287624983
