Run,Start Time,End Time,Duration (minutes),Coherence Score
1,2024-10-18 09:24:08,2024-10-18 09:24:18,0.16399608453114828,0.2791597609248256
2,2024-10-18 09:24:18,2024-10-18 09:24:27,0.1574490984280904,0.2913562294299771
3,2024-10-18 09:24:27,2024-10-18 09:24:36,0.1580860694249471,0.2886977925231176
4,2024-10-18 09:24:36,2024-10-18 09:24:46,0.1593090017636617,0.2896713948834678
5,2024-10-18 09:24:46,2024-10-18 09:24:56,0.16083081563313803,0.29369744010513366
6,2024-10-18 09:24:56,2024-10-18 09:25:05,0.16073937018712361,0.2917483912133544
7,2024-10-18 09:25:05,2024-10-18 09:25:15,0.1603532830874125,0.28286773273600413
8,2024-10-18 09:25:15,2024-10-18 09:25:24,0.15648066600163776,0.28578113128729943
9,2024-10-18 09:25:24,2024-10-18 09:25:34,0.16027873357137043,0.2864875822079561
10,2024-10-18 09:25:34,2024-10-18 09:25:44,0.1627238631248474,0.2813090842128161
11,2024-10-18 09:25:44,2024-10-18 09:25:53,0.1572723388671875,0.2867038402810061
12,2024-10-18 09:25:53,2024-10-18 09:26:03,0.16557610432306927,0.29407223653432135
13,2024-10-18 09:26:03,2024-10-18 09:26:13,0.16063831647237142,0.2936606721150802
14,2024-10-18 09:26:13,2024-10-18 09:26:22,0.16180933713912965,0.2983807733944439
15,2024-10-18 09:26:22,2024-10-18 09:26:32,0.16055793364842733,0.2903331190178871
16,2024-10-18 09:26:32,2024-10-18 09:26:42,0.16518831253051758,0.2799383959647388
17,2024-10-18 09:26:42,2024-10-18 09:26:52,0.1648655335108439,0.27699960987529576
18,2024-10-18 09:26:52,2024-10-18 09:27:02,0.16068086624145508,0.2919241974029847
19,2024-10-18 09:27:02,2024-10-18 09:27:11,0.16468948125839233,0.281994289892844
20,2024-10-18 09:27:11,2024-10-18 09:27:21,0.15979143381118774,0.28429514175293835
21,2024-10-18 09:27:21,2024-10-18 09:27:31,0.16188965241114298,0.28078549242263445
22,2024-10-18 09:27:31,2024-10-18 09:27:41,0.16476403474807738,0.2859690082291853
23,2024-10-18 09:27:41,2024-10-18 09:27:50,0.1570418874422709,0.2842645136658104
24,2024-10-18 09:27:50,2024-10-18 09:27:59,0.15664231777191162,0.2865121860648721
25,2024-10-18 09:27:59,2024-10-18 09:28:10,0.16850913365681966,0.28636406346082827
26,2024-10-18 09:28:10,2024-10-18 09:28:19,0.15598686933517455,0.284193231448404
27,2024-10-18 09:28:19,2024-10-18 09:28:28,0.15902891556421916,0.2938335806616778
28,2024-10-18 09:28:28,2024-10-18 09:28:38,0.15611505111058552,0.28879620636522146
29,2024-10-18 09:28:38,2024-10-18 09:28:47,0.1611762841542562,0.28270999648699807
30,2024-10-18 09:28:47,2024-10-18 09:28:57,0.15683926343917848,0.29806972989758124
31,2024-10-18 09:28:57,2024-10-18 09:29:06,0.15895841519037882,0.2949763863655616
32,2024-10-18 09:29:06,2024-10-18 09:29:16,0.160569163163503,0.2969649950747816
33,2024-10-18 09:29:16,2024-10-18 09:29:26,0.16159729957580565,0.2909393525814642
34,2024-10-18 09:29:26,2024-10-18 09:29:36,0.16278231541315716,0.2951479498189136
35,2024-10-18 09:29:36,2024-10-18 09:29:45,0.16122216780980428,0.28672889799856777
36,2024-10-18 09:29:45,2024-10-18 09:29:55,0.16135671536127727,0.2938577889898437
37,2024-10-18 09:29:55,2024-10-18 09:30:05,0.16343695322672527,0.288597070326126
38,2024-10-18 09:30:05,2024-10-18 09:30:14,0.16239029566446941,0.2818215234265261
39,2024-10-18 09:30:14,2024-10-18 09:30:24,0.16228506565093995,0.27251743894245084
40,2024-10-18 09:30:24,2024-10-18 09:30:34,0.1621904691060384,0.285617225837045
41,2024-10-18 09:30:34,2024-10-18 09:30:44,0.16207246780395507,0.2796873502582805
42,2024-10-18 09:30:44,2024-10-18 09:30:53,0.15952381292978923,0.28004526442272715
43,2024-10-18 09:30:53,2024-10-18 09:31:03,0.15879831711451212,0.2917552709980052
44,2024-10-18 09:31:03,2024-10-18 09:31:12,0.16208726565043133,0.2836666524476134
45,2024-10-18 09:31:12,2024-10-18 09:31:22,0.15712698698043823,0.29118538286113366
46,2024-10-18 09:31:22,2024-10-18 09:31:31,0.15857148170471191,0.3029325755968708
47,2024-10-18 09:31:31,2024-10-18 09:31:41,0.15805702209472655,0.2775781456404844
48,2024-10-18 09:31:41,2024-10-18 09:31:50,0.15944838523864746,0.28774558729101546
49,2024-10-18 09:31:50,2024-10-18 09:32:00,0.15983340342839558,0.28321831108498835
50,2024-10-18 09:32:00,2024-10-18 09:32:10,0.15809855063756306,0.2911023310249877
51,2024-10-18 09:32:10,2024-10-18 09:32:19,0.1570568044980367,0.28863768901452047
52,2024-10-18 09:32:19,2024-10-18 09:32:28,0.1589670697848002,0.29528875327241877
53,2024-10-18 09:32:28,2024-10-18 09:32:38,0.16114447116851807,0.28535080940968605
54,2024-10-18 09:32:38,2024-10-18 09:32:48,0.15957026878992717,0.2788332887262667
55,2024-10-18 09:32:48,2024-10-18 09:32:57,0.1598439375559489,0.29575669248249875
56,2024-10-18 09:32:57,2024-10-18 09:33:07,0.15831891695658365,0.29517740562049866
57,2024-10-18 09:33:07,2024-10-18 09:33:16,0.15756371815999348,0.28546686430077284
58,2024-10-18 09:33:16,2024-10-18 09:33:26,0.1576249321301778,0.2891769556057726
59,2024-10-18 09:33:26,2024-10-18 09:33:36,0.17341431379318237,0.29206880790960865
60,2024-10-18 09:33:36,2024-10-18 09:33:46,0.15959192117055257,0.29787003560773
61,2024-10-18 09:33:46,2024-10-18 09:33:55,0.15877943436304728,0.2896249106080549
62,2024-10-18 09:33:55,2024-10-18 09:34:05,0.15950978597005208,0.27893718202696177
63,2024-10-18 09:34:05,2024-10-18 09:34:14,0.15727190176645914,0.29039585226125225
64,2024-10-18 09:34:14,2024-10-18 09:34:24,0.1586811860402425,0.2811556965935172
65,2024-10-18 09:34:24,2024-10-18 09:34:33,0.16071095069249472,0.28288923069069405
66,2024-10-18 09:34:33,2024-10-18 09:34:43,0.16043951511383056,0.29101625507462403
67,2024-10-18 09:34:43,2024-10-18 09:34:53,0.16197281678517658,0.2896908190005424
68,2024-10-18 09:34:53,2024-10-18 09:35:02,0.15959258476893107,0.3023980622755462
69,2024-10-18 09:35:02,2024-10-18 09:35:12,0.15794732968012493,0.3013091986605655
70,2024-10-18 09:35:12,2024-10-18 09:35:22,0.16289328336715697,0.2984089697088125
71,2024-10-18 09:35:22,2024-10-18 09:35:31,0.16090015172958375,0.28516993128868906
72,2024-10-18 09:35:31,2024-10-18 09:35:41,0.15821943283081055,0.27394002254255934
73,2024-10-18 09:35:41,2024-10-18 09:35:50,0.15862133502960205,0.28629449802400647
74,2024-10-18 09:35:50,2024-10-18 09:36:00,0.16113176743189495,0.289568302530121
75,2024-10-18 09:36:00,2024-10-18 09:36:10,0.16246140003204346,0.2810644127267391
76,2024-10-18 09:36:10,2024-10-18 09:36:19,0.15902344783147176,0.2873786221014181
77,2024-10-18 09:36:19,2024-10-18 09:36:29,0.15880730152130126,0.2861003978560738
78,2024-10-18 09:36:29,2024-10-18 09:36:38,0.15927761793136597,0.29522370074979315
79,2024-10-18 09:36:38,2024-10-18 09:36:48,0.16176489988962808,0.29286314216793985
80,2024-10-18 09:36:48,2024-10-18 09:36:58,0.16084248622258504,0.29875562595394256
81,2024-10-18 09:36:58,2024-10-18 09:37:07,0.16117574771245322,0.29300744027187353
82,2024-10-18 09:37:07,2024-10-18 09:37:17,0.1596282680829366,0.28205365181589237
83,2024-10-18 09:37:17,2024-10-18 09:37:27,0.16819751660029095,0.2873885796464852
84,2024-10-18 09:37:27,2024-10-18 09:37:36,0.15715787808100382,0.29052920670599575
85,2024-10-18 09:37:36,2024-10-18 09:37:46,0.15826271772384642,0.2949097165226379
86,2024-10-18 09:37:46,2024-10-18 09:37:55,0.15970113277435302,0.2841891007290081
87,2024-10-18 09:37:55,2024-10-18 09:38:05,0.1592614968617757,0.28255999226953826
88,2024-10-18 09:38:05,2024-10-18 09:38:15,0.16226086616516114,0.2822914838957316
89,2024-10-18 09:38:15,2024-10-18 09:38:24,0.15988888343175253,0.2897234980262159
90,2024-10-18 09:38:24,2024-10-18 09:38:34,0.15976343154907227,0.2876774636206816
91,2024-10-18 09:38:34,2024-10-18 09:38:44,0.1599709351857503,0.2799709133524922
92,2024-10-18 09:38:44,2024-10-18 09:38:53,0.15930188496907552,0.2956054573491741
93,2024-10-18 09:38:53,2024-10-18 09:39:03,0.15975791215896606,0.292001270041122
94,2024-10-18 09:39:03,2024-10-18 09:39:12,0.16106893618901572,0.30451566635785643
95,2024-10-18 09:39:12,2024-10-18 09:39:22,0.1562982201576233,0.28323525240965325
96,2024-10-18 09:39:22,2024-10-18 09:39:31,0.16064328352610271,0.29471114603271875
97,2024-10-18 09:39:31,2024-10-18 09:39:41,0.15577848354975382,0.280473248578341
98,2024-10-18 09:39:41,2024-10-18 09:39:50,0.1566901167233785,0.30502193895169916
99,2024-10-18 09:39:50,2024-10-18 09:40:00,0.16099985043207804,0.28970185172978236
100,2024-10-18 09:40:00,2024-10-18 09:40:09,0.15846063296000162,0.28414743287624983
