category,match_count,total_count,match_percentage
POLITICS,35585,35601,99.95505744220668
CRIME,19,3562,0.5334081976417743
ENVIRONMENT,3,1444,0.20775623268698062
PARENTING,8,8791,0.0910021613013309
ENTERTAINMENT,10,17361,0.05760036864235932
STYLE & BEAUTY,3,9814,0.030568575504381496
DIVORCE,1,3426,0.02918855808523059
PARENTS,1,3955,0.025284450063211124
COMEDY,1,5398,0.018525379770285292
WELLNESS,3,17945,0.016717748676511563
BUSINESS,1,5991,0.016691704223001168
FOOD & DRINK,1,6340,0.01577287066246057
QUEER VOICES,1,6346,0.01575795776867318
