category,match_count,total_count,match_percentage
ARTS,0,1509,0.0
ARTS & CULTURE,0,1339,0.0
BLACK VOICES,0,4583,0.0
COLLEGE,0,1144,0.0
CULTURE & ARTS,0,1074,0.0
EDUCATION,0,1014,0.0
FIFTY,0,1400,0.0
GOOD NEWS,0,1398,0.0
GREEN,0,2622,0.0
HEALTHY LIVING,0,6692,0.0
HOME & LIVING,0,4320,0.0
IMPACT,0,3484,0.0
LATINO VOICES,0,1130,0.0
MEDIA,0,2943,0.0
MONEY,0,1756,0.0
RELIGION,0,2577,0.0
SCIENCE,0,2206,0.0
SPORTS,0,5077,0.0
STYLE,0,2254,0.0
TASTE,0,2096,0.0
TECH,0,2104,0.0
TRAVEL,0,9900,0.0
WEDDINGS,0,3653,0.0
WOMEN,0,3572,0.0
