Run,Start Time,End Time,Duration (minutes)
1,2024-10-17 22:51:59,2024-10-17 22:58:22,6.395069098472595
2,2024-10-17 22:58:22,2024-10-17 23:04:46,6.390588215986887
3,2024-10-17 23:04:46,2024-10-17 23:11:14,6.474059315522512
4,2024-10-17 23:11:14,2024-10-17 23:17:36,6.371212720870972
5,2024-10-17 23:17:36,2024-10-17 23:23:53,6.27366661230723
6,2024-10-17 23:23:53,2024-10-17 23:30:07,6.235171278317769
7,2024-10-17 23:30:07,2024-10-17 23:36:22,6.252059837182363
8,2024-10-17 23:36:22,2024-10-17 23:42:40,6.298403433958689
9,2024-10-17 23:42:40,2024-10-17 23:48:56,6.2587511459986365
10,2024-10-17 23:48:56,2024-10-17 23:55:12,6.278186229864756
11,2024-10-17 23:55:12,2024-10-18 00:01:35,6.382234251499176
12,2024-10-18 00:01:35,2024-10-18 00:07:51,6.263037586212159
13,2024-10-18 00:07:51,2024-10-18 00:14:01,6.159473550319672
14,2024-10-18 00:14:01,2024-10-18 00:20:12,6.18752563794454
15,2024-10-18 00:20:12,2024-10-18 00:26:22,6.169894349575043
16,2024-10-18 00:26:22,2024-10-18 00:32:30,6.128596417109171
17,2024-10-18 00:32:30,2024-10-18 00:38:37,6.128560797373454
18,2024-10-18 00:38:37,2024-10-18 00:44:45,6.132358817259471
19,2024-10-18 00:44:45,2024-10-18 00:50:53,6.125607879956563
20,2024-10-18 00:50:53,2024-10-18 00:56:59,6.104756168524424
21,2024-10-18 00:56:59,2024-10-18 01:03:07,6.125998584429423
22,2024-10-18 01:03:07,2024-10-18 01:09:13,6.106566798686981
23,2024-10-18 01:09:13,2024-10-18 01:15:19,6.1022955497105915
24,2024-10-18 01:15:19,2024-10-18 01:21:27,6.125550631682078
25,2024-10-18 01:21:27,2024-10-18 01:27:34,6.123475666840871
26,2024-10-18 01:27:34,2024-10-18 01:33:40,6.095495748519897
27,2024-10-18 01:33:40,2024-10-18 01:39:45,6.080200350284576
28,2024-10-18 01:39:45,2024-10-18 01:45:51,6.0983516017595925
29,2024-10-18 01:45:51,2024-10-18 01:51:57,6.099079581101735
30,2024-10-18 01:51:57,2024-10-18 01:58:01,6.0755592028299965
31,2024-10-18 01:58:01,2024-10-18 02:04:06,6.075674152374267
32,2024-10-18 02:04:06,2024-10-18 02:10:10,6.0679627656936646
33,2024-10-18 02:10:10,2024-10-18 02:16:14,6.064346647262573
34,2024-10-18 02:16:14,2024-10-18 02:22:16,6.041733646392823
35,2024-10-18 02:22:16,2024-10-18 02:28:19,6.055750262737274
36,2024-10-18 02:28:19,2024-10-18 02:34:23,6.059581450621287
37,2024-10-18 02:34:23,2024-10-18 02:40:25,6.038563533624013
38,2024-10-18 02:40:25,2024-10-18 02:46:29,6.066868233680725
39,2024-10-18 02:46:29,2024-10-18 02:52:34,6.076914083957672
40,2024-10-18 02:52:34,2024-10-18 02:58:38,6.060080830256144
41,2024-10-18 02:58:38,2024-10-18 03:04:41,6.055456264813741
42,2024-10-18 03:04:41,2024-10-18 03:10:44,6.0566418170928955
43,2024-10-18 03:10:44,2024-10-18 03:16:47,6.038303601741791
44,2024-10-18 03:16:47,2024-10-18 03:22:49,6.046284151077271
45,2024-10-18 03:22:49,2024-10-18 03:28:52,6.044053550561269
46,2024-10-18 03:28:52,2024-10-18 03:34:54,6.034128900369009
47,2024-10-18 03:34:54,2024-10-18 03:40:57,6.056451567014059
48,2024-10-18 03:40:57,2024-10-18 03:47:02,6.075720981756846
49,2024-10-18 03:47:02,2024-10-18 03:53:05,6.053404800097147
50,2024-10-18 03:53:05,2024-10-18 03:59:10,6.072629817326864
