Run,Start Time,End Time,Duration (minutes),Coherence Score
1,2024-10-17 22:51:59,2024-10-17 22:58:22,6.395069098472595,0.25890795086672563
2,2024-10-17 22:58:22,2024-10-17 23:04:46,6.390588215986887,0.2688725234034777
3,2024-10-17 23:04:46,2024-10-17 23:11:14,6.474059315522512,0.2564151026460087
4,2024-10-17 23:11:14,2024-10-17 23:17:36,6.371212720870972,0.26253807403046314
5,2024-10-17 23:17:36,2024-10-17 23:23:53,6.27366661230723,0.2542109136340745
6,2024-10-17 23:23:53,2024-10-17 23:30:07,6.235171278317769,0.2570477143041902
7,2024-10-17 23:30:07,2024-10-17 23:36:22,6.252059837182363,0.2638794242256445
8,2024-10-17 23:36:22,2024-10-17 23:42:40,6.298403433958689,0.24602051677357553
9,2024-10-17 23:42:40,2024-10-17 23:48:56,6.2587511459986365,0.2487234506368154
10,2024-10-17 23:48:56,2024-10-17 23:55:12,6.278186229864756,0.2518259621479394
11,2024-10-17 23:55:12,2024-10-18 00:01:35,6.382234251499176,0.25255381618269956
12,2024-10-18 00:01:35,2024-10-18 00:07:51,6.263037586212159,0.2623848954877701
13,2024-10-18 00:07:51,2024-10-18 00:14:01,6.159473550319672,0.2498110823997855
14,2024-10-18 00:14:01,2024-10-18 00:20:12,6.18752563794454,0.25677658298095996
15,2024-10-18 00:20:12,2024-10-18 00:26:22,6.169894349575043,0.2594689373015695
16,2024-10-18 00:26:22,2024-10-18 00:32:30,6.128596417109171,0.26122937713918
17,2024-10-18 00:32:30,2024-10-18 00:38:37,6.128560797373454,0.2662561403531236
18,2024-10-18 00:38:37,2024-10-18 00:44:45,6.132358817259471,0.26194379451503225
19,2024-10-18 00:44:45,2024-10-18 00:50:53,6.125607879956563,0.24662827082217975
20,2024-10-18 00:50:53,2024-10-18 00:56:59,6.104756168524424,0.26055245120884485
21,2024-10-18 00:56:59,2024-10-18 01:03:07,6.125998584429423,0.2554645230388684
22,2024-10-18 01:03:07,2024-10-18 01:09:13,6.106566798686981,0.2513111145789532
23,2024-10-18 01:09:13,2024-10-18 01:15:19,6.1022955497105915,0.2588082945531573
24,2024-10-18 01:15:19,2024-10-18 01:21:27,6.125550631682078,0.26174020995382513
25,2024-10-18 01:21:27,2024-10-18 01:27:34,6.123475666840871,0.2686369068347124
26,2024-10-18 01:27:34,2024-10-18 01:33:40,6.095495748519897,0.2646800752173157
27,2024-10-18 01:33:40,2024-10-18 01:39:45,6.080200350284576,0.2577070904677017
28,2024-10-18 01:39:45,2024-10-18 01:45:51,6.0983516017595925,0.26421611649385296
29,2024-10-18 01:45:51,2024-10-18 01:51:57,6.099079581101735,0.26227070840319144
30,2024-10-18 01:51:57,2024-10-18 01:58:01,6.0755592028299965,0.2513052119757167
31,2024-10-18 01:58:01,2024-10-18 02:04:06,6.075674152374267,0.2520757105571561
32,2024-10-18 02:04:06,2024-10-18 02:10:10,6.0679627656936646,0.272467533198106
33,2024-10-18 02:10:10,2024-10-18 02:16:14,6.064346647262573,0.25296292454048064
34,2024-10-18 02:16:14,2024-10-18 02:22:16,6.041733646392823,0.2392363112875966
35,2024-10-18 02:22:16,2024-10-18 02:28:19,6.055750262737274,0.26103485106486474
36,2024-10-18 02:28:19,2024-10-18 02:34:23,6.059581450621287,0.26115333459286105
37,2024-10-18 02:34:23,2024-10-18 02:40:25,6.038563533624013,0.26882845805761046
38,2024-10-18 02:40:25,2024-10-18 02:46:29,6.066868233680725,0.25463895338235343
39,2024-10-18 02:46:29,2024-10-18 02:52:34,6.076914083957672,0.25882978185810485
40,2024-10-18 02:52:34,2024-10-18 02:58:38,6.060080830256144,0.2554321620906033
41,2024-10-18 02:58:38,2024-10-18 03:04:41,6.055456264813741,0.2551709455926665
42,2024-10-18 03:04:41,2024-10-18 03:10:44,6.0566418170928955,0.2615916814438992
43,2024-10-18 03:10:44,2024-10-18 03:16:47,6.038303601741791,0.2571472348846696
44,2024-10-18 03:16:47,2024-10-18 03:22:49,6.046284151077271,0.2539561562306392
45,2024-10-18 03:22:49,2024-10-18 03:28:52,6.044053550561269,0.2649591228732157
46,2024-10-18 03:28:52,2024-10-18 03:34:54,6.034128900369009,0.2505338209516611
47,2024-10-18 03:34:54,2024-10-18 03:40:57,6.056451567014059,0.24765229757590737
48,2024-10-18 03:40:57,2024-10-18 03:47:02,6.075720981756846,0.26429591648282214
49,2024-10-18 03:47:02,2024-10-18 03:53:05,6.053404800097147,0.2523734685100681
50,2024-10-18 03:53:05,2024-10-18 03:59:10,6.072629817326864,0.2604029227822704
